location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1077407502,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407503,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407504,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407584,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407627,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407724,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407774,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407830,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407831,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407857,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407858,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407862,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407863,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407873,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407874,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407877,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407883,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407888,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407905,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407907,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407908,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407998,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408197,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408198,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408199,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077408201,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408203,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408205,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408238,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408258,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408397,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408480,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408575,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408702,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408703,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408708,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408711,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408714,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408716,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408719,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077408731,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408767,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408896,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077408910,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409008,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409010,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409012,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409017,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409019,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409025,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409028,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409030,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409031,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409051,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409055,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409056,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409057,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409059,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409060,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409061,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409066,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409068,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409076,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409080,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409091,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409093,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409246,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409258,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409304,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409305,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409306,CM61-BEAD-LA-136-3004,0,50,50,200,1
